Date,Close/Last,Volume,Open,High,Low
10/25/2023,1994.9,235.699,1982.7,1998.6,1973.6
10/24/2023,1986.1,191.586,1984.1,1989,1970
10/23/2023,1987.8,204.959,1987.7,1990.9,1982.6
10/20/2023,1994.4,279.162,1988,2009.2,1983.7
10/19/2023,1980.5,253.69,1960.1,1990.2,1957
10/18/2023,1968.3,261.064,1936.7,1975.8,1935.9
10/17/2023,1935.7,159.43,1933.3,1944.5,1924.6
10/16/2023,1934.3,174.742,1941.3,1943,1921.2
10/13/2023,1941.5,298.561,1881.7,1946.2,1881.5
10/12/2023,1883,158.089,1888.1,1898.3,1880.6
10/11/2023,1887.3,162.914,1873.7,1890.9,1871.7
10/10/2023,1875.3,152.865,1875.4,1879.1,1866.1
10/9/2023,1864.3,183.451,1861,1877.3,1857.5
10/6/2023,1845.2,224.544,1834.3,1849,1823.5
10/5/2023,1831.8,163.68,1837.6,1843.5,1826.2
10/4/2023,1834.8,187.267,1838.7,1846.8,1831.6
10/3/2023,1841.5,208.11,1844.9,1849.3,1830.9
10/2/2023,1847.2,191.599,1864.4,1864.7,1842.7
09/29/2023,1866.1,234.756,1882.3,1896.7,1862.3
09/28/2023,1878.6,217.353,1893.3,1896.8,1874.5
09/27/2023,1890.9,221.139,1918.8,1921.7,1890.3
09/26/2023,1919.8,202.105,1935.1,1935.5,1917.2
09/25/2023,1936.6,155.517,1944.7,1946.8,1933.8
09/22/2023,1945.6,135.193,1939.6,1949.1,1939.6
09/21/2023,1939.6,218.211,1952,1952.2,1933.1
09/20/2023,1967.1,212.731,1953,1968.9,1948.6
09/19/2023,1953.7,126.871,1955.3,1958.9,1950.9
09/18/2023,1953.4,134.529,1945.7,1955.7,1943.8
09/15/2023,1946.2,195.342,1932.5,1952.4,1931.2
09/14/2023,1932.8,196.22,1930.7,1934.5,1921.7
09/13/2023,1932.5,156.209,1935.2,1938.4,1927.2
09/12/2023,1935.1,155.034,1945.6,1947.5,1929.9
09/11/2023,1947.2,128.75,1943.3,1947.6,1944.6
09/8/2023,1942.7,136.235,1943.8,1954,1940.8
09/7/2023,1942.5,114.097,1942.2,1947.9,1940.3
09/6/2023,1944.2,145.271,1951.5,1954.5,1940
09/5/2023,1952.6,187.935,1966.7,1972.6,1950.6
09/1/2023,1967.1,158.269,1966.4,1980.2,1960.7
08/31/2023,1965.9,125.945,1970.2,1974.9,1965.5
08/30/2023,1973,138.398,1966,1977.1,1962.8
08/29/2023,1965.1,169.333,1948.1,1966.5,1941.7
08/28/2023,1946.8,113.565,1944,1954.2,1940.1
08/25/2023,1939.9,163.733,1944.9,1950.4,1931
08/24/2023,1947.1,133.727,1944.9,1951.3,1939.2
08/23/2023,1948.1,162.315,1926.8,1949.7,1926.2
08/22/2023,1926,126.226,1924,1933.2,1917.5
08/21/2023,1923,135.415,1918.4,1927.9,1913.6
08/18/2023,1916.5,110.337,1919.2,1926,1915.9
