+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU333---333--- | 2020 |  M12   | 142.8 |           |
| PCU333---333--- | 2020 |  M11   | 142.6 |           |
| PCU333---333--- | 2020 |  M10   | 142.5 |           |
| PCU333---333--- | 2020 |  M09   | 142.4 |           |
| PCU333---333--- | 2020 |  M08   | 142.3 |           |
| PCU333---333--- | 2020 |  M07   | 142.0 |           |
| PCU333---333--- | 2020 |  M06   | 142.0 |           |
| PCU333---333--- | 2020 |  M05   | 141.9 |           |
| PCU333---333--- | 2020 |  M04   | 142.0 |           |
| PCU333---333--- | 2020 |  M03   | 141.9 |           |
| PCU333---333--- | 2020 |  M02   | 141.6 |           |
| PCU333---333--- | 2020 |  M01   | 141.4 |           |
| PCU333---333--- | 2019 |  M12   | 140.8 |           |
| PCU333---333--- | 2019 |  M11   | 140.6 |           |
| PCU333---333--- | 2019 |  M10   | 140.5 |           |
| PCU333---333--- | 2019 |  M09   | 140.5 |           |
| PCU333---333--- | 2019 |  M08   | 140.3 |           |
| PCU333---333--- | 2019 |  M07   | 140.3 |           |
| PCU333---333--- | 2019 |  M06   | 140.1 |           |
| PCU333---333--- | 2019 |  M05   | 140.0 |           |
| PCU333---333--- | 2019 |  M04   | 139.9 |           |
| PCU333---333--- | 2019 |  M03   | 139.6 |           |
| PCU333---333--- | 2019 |  M02   | 139.4 |           |
| PCU333---333--- | 2019 |  M01   | 139.1 |           |
| PCU333---333--- | 2018 |  M12   | 138.4 |           |
| PCU333---333--- | 2018 |  M11   | 138.2 |           |
| PCU333---333--- | 2018 |  M10   | 137.8 |           |
| PCU333---333--- | 2018 |  M09   | 137.2 |           |
| PCU333---333--- | 2018 |  M08   | 136.9 |           |
| PCU333---333--- | 2018 |  M07   | 136.1 |           |
| PCU333---333--- | 2018 |  M06   | 135.6 |           |
| PCU333---333--- | 2018 |  M05   | 135.3 |           |
| PCU333---333--- | 2018 |  M04   | 134.9 |           |
| PCU333---333--- | 2018 |  M03   | 134.8 |           |
| PCU333---333--- | 2018 |  M02   | 134.4 |           |
| PCU333---333--- | 2018 |  M01   | 134.1 |           |
| PCU333---333--- | 2017 |  M12   | 133.7 |           |
| PCU333---333--- | 2017 |  M11   | 133.7 |           |
| PCU333---333--- | 2017 |  M10   | 133.6 |           |
| PCU333---333--- | 2017 |  M09   | 133.5 |           |
| PCU333---333--- | 2017 |  M08   | 133.4 |           |
| PCU333---333--- | 2017 |  M07   | 133.4 |           |
| PCU333---333--- | 2017 |  M06   | 133.4 |           |
| PCU333---333--- | 2017 |  M05   | 133.3 |           |
| PCU333---333--- | 2017 |  M04   | 133.1 |           |
| PCU333---333--- | 2017 |  M03   | 133.1 |           |
| PCU333---333--- | 2017 |  M02   | 132.9 |           |
| PCU333---333--- | 2017 |  M01   | 132.7 |           |
| PCU333---333--- | 2016 |  M12   | 132.4 |           |
| PCU333---333--- | 2016 |  M11   | 132.3 |           |
| PCU333---333--- | 2016 |  M10   | 132.2 |           |
| PCU333---333--- | 2016 |  M09   | 132.2 |           |
| PCU333---333--- | 2016 |  M08   | 132.1 |           |
