+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
|    series id    | year | period |  value  |                                                footnotes                                                |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
| PCU314---314--- | 2025 |  M03   | 162.243 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU314---314--- | 2025 |  M02   | 162.176 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU314---314--- | 2025 |  M01   | 162.285 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU314---314--- | 2024 |  M12   | 160.559 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU314---314--- | 2024 |  M11   | 160.534 |                                                                                                         |
| PCU314---314--- | 2024 |  M10   | 161.707 |                                                                                                         |
| PCU314---314--- | 2024 |  M09   | 162.608 |                                                                                                         |
| PCU314---314--- | 2024 |  M08   | 159.970 |                                                                                                         |
| PCU314---314--- | 2024 |  M07   | 160.915 |                                                                                                         |
| PCU314---314--- | 2024 |  M06   | 161.165 |                                                                                                         |
| PCU314---314--- | 2024 |  M05   | 160.407 |                                                                                                         |
| PCU314---314--- | 2024 |  M04   | 160.232 |                                                                                                         |
| PCU314---314--- | 2024 |  M03   | 160.560 |                                                                                                         |
| PCU314---314--- | 2024 |  M02   | 159.287 |                                                                                                         |
| PCU314---314--- | 2024 |  M01   | 160.542 |                                                                                                         |
| PCU314---314--- | 2023 |  M12   | 158.765 |                                                                                                         |
| PCU314---314--- | 2023 |  M11   | 159.121 |                                                                                                         |
| PCU314---314--- | 2023 |  M10   | 159.923 |                                                                                                         |
| PCU314---314--- | 2023 |  M09   | 160.660 |                                                                                                         |
| PCU314---314--- | 2023 |  M08   | 159.236 |                                                                                                         |
| PCU314---314--- | 2023 |  M07   | 158.361 |                                                                                                         |
| PCU314---314--- | 2023 |  M06   | 158.212 |                                                                                                         |
| PCU314---314--- | 2023 |  M05   | 158.415 |                                                                                                         |
| PCU314---314--- | 2023 |  M04   | 158.603 |                                                                                                         |
| PCU314---314--- | 2023 |  M03   | 158.341 |                                                                                                         |
| PCU314---314--- | 2023 |  M02   | 158.363 |                                                                                                         |
| PCU314---314--- | 2023 |  M01   | 158.263 |                                                                                                         |
| PCU314---314--- | 2022 |  M12   | 157.059 |                                                                                                         |
| PCU314---314--- | 2022 |  M11   | 157.831 |                                                                                                         |
| PCU314---314--- | 2022 |  M10   | 156.690 |                                                                                                         |
| PCU314---314--- | 2022 |  M09   | 155.763 |                                                                                                         |
| PCU314---314--- | 2022 |  M08   | 155.346 |                                                                                                         |
| PCU314---314--- | 2022 |  M07   | 154.089 |                                                                                                         |
| PCU314---314--- | 2022 |  M06   | 152.906 |                                                                                                         |
| PCU314---314--- | 2022 |  M05   | 151.891 |                                                                                                         |
| PCU314---314--- | 2022 |  M04   | 151.869 |                                                                                                         |
| PCU314---314--- | 2022 |  M03   | 150.990 |                                                                                                         |
| PCU314---314--- | 2022 |  M02   | 151.188 |                                                                                                         |
| PCU314---314--- | 2022 |  M01   | 148.649 |                                                                                                         |
| PCU314---314--- | 2021 |  M12   | 149.897 |                                                                                                         |
| PCU314---314--- | 2021 |  M11   | 149.454 |                                                                                                         |
| PCU314---314--- | 2021 |  M10   | 148.750 |                                                                                                         |
| PCU314---314--- | 2021 |  M09   | 147.003 |                                                                                                         |
| PCU314---314--- | 2021 |  M08   | 145.968 |                                                                                                         |
| PCU314---314--- | 2021 |  M07   | 143.153 |                                                                                                         |
| PCU314---314--- | 2021 |  M06   |  142.5  |                                                                                                         |
| PCU314---314--- | 2021 |  M05   |  141.5  |                                                                                                         |
| PCU314---314--- | 2021 |  M04   |  140.8  |                                                                                                         |
| PCU314---314--- | 2021 |  M03   |  139.6  |                                                                                                         |
| PCU314---314--- | 2021 |  M02   |  139.1  |                                                                                                         |
| PCU314---314--- | 2021 |  M01   |  140.1  |                                                                                                         |
| PCU314---314--- | 2020 |  M12   |  139.6  |                                                                                                         |
| PCU314---314--- | 2020 |  M11   |  139.4  |                                                                                                         |
| PCU314---314--- | 2020 |  M10   |  139.0  |                                                                                                         |
| PCU314---314--- | 2020 |  M09   |  139.1  |                                                                                                         |
| PCU314---314--- | 2020 |  M08   |  139.0  |                                                                                                         |
| PCU314---314--- | 2020 |  M07   |  138.9  |                                                                                                         |
| PCU314---314--- | 2020 |  M06   |  139.1  |                                                                                                         |
| PCU314---314--- | 2020 |  M05   |  138.9  |                                                                                                         |
| PCU314---314--- | 2020 |  M04   |  139.2  |                                                                                                         |
| PCU314---314--- | 2020 |  M03   |  139.1  |                                                                                                         |
| PCU314---314--- | 2020 |  M02   |  139.3  |                                                                                                         |
| PCU314---314--- | 2020 |  M01   |  139.2  |                                                                                                         |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
