+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
|    series id    | year | period |  value  |                                                footnotes                                                |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
| PCU339---339--- | 2025 |  M03   | 153.016 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU339---339--- | 2025 |  M02   | 152.799 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU339---339--- | 2025 |  M01   | 152.378 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU339---339--- | 2024 |  M12   | 151.086 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU339---339--- | 2024 |  M11   | 150.821 |                                                                                                         |
| PCU339---339--- | 2024 |  M10   | 150.905 |                                                                                                         |
| PCU339---339--- | 2024 |  M09   | 150.477 |                                                                                                         |
| PCU339---339--- | 2024 |  M08   | 150.321 |                                                                                                         |
| PCU339---339--- | 2024 |  M07   | 150.016 |                                                                                                         |
| PCU339---339--- | 2024 |  M06   | 149.470 |                                                                                                         |
| PCU339---339--- | 2024 |  M05   | 149.376 |                                                                                                         |
| PCU339---339--- | 2024 |  M04   | 148.610 |                                                                                                         |
| PCU339---339--- | 2024 |  M03   | 148.180 |                                                                                                         |
| PCU339---339--- | 2024 |  M02   | 147.577 |                                                                                                         |
| PCU339---339--- | 2024 |  M01   | 147.121 |                                                                                                         |
| PCU339---339--- | 2023 |  M12   | 145.850 |                                                                                                         |
| PCU339---339--- | 2023 |  M11   | 145.617 |                                                                                                         |
| PCU339---339--- | 2023 |  M10   | 145.253 |                                                                                                         |
| PCU339---339--- | 2023 |  M09   | 145.077 |                                                                                                         |
| PCU339---339--- | 2023 |  M08   | 145.002 |                                                                                                         |
| PCU339---339--- | 2023 |  M07   | 144.951 |                                                                                                         |
| PCU339---339--- | 2023 |  M06   | 145.048 |                                                                                                         |
| PCU339---339--- | 2023 |  M05   | 144.591 |                                                                                                         |
| PCU339---339--- | 2023 |  M04   | 143.764 |                                                                                                         |
| PCU339---339--- | 2023 |  M03   | 143.731 |                                                                                                         |
| PCU339---339--- | 2023 |  M02   | 143.318 |                                                                                                         |
| PCU339---339--- | 2023 |  M01   | 143.404 |                                                                                                         |
| PCU339---339--- | 2022 |  M12   | 141.735 |                                                                                                         |
| PCU339---339--- | 2022 |  M11   | 141.341 |                                                                                                         |
| PCU339---339--- | 2022 |  M10   | 140.967 |                                                                                                         |
| PCU339---339--- | 2022 |  M09   | 140.428 |                                                                                                         |
| PCU339---339--- | 2022 |  M08   | 140.333 |                                                                                                         |
| PCU339---339--- | 2022 |  M07   | 139.642 |                                                                                                         |
| PCU339---339--- | 2022 |  M06   | 139.170 |                                                                                                         |
| PCU339---339--- | 2022 |  M05   | 138.815 |                                                                                                         |
| PCU339---339--- | 2022 |  M04   | 138.187 |                                                                                                         |
| PCU339---339--- | 2022 |  M03   | 137.642 |                                                                                                         |
| PCU339---339--- | 2022 |  M02   | 136.009 |                                                                                                         |
| PCU339---339--- | 2022 |  M01   | 135.237 |                                                                                                         |
| PCU339---339--- | 2021 |  M12   | 132.447 |                                                                                                         |
| PCU339---339--- | 2021 |  M11   | 132.436 |                                                                                                         |
| PCU339---339--- | 2021 |  M10   | 131.927 |                                                                                                         |
| PCU339---339--- | 2021 |  M09   | 131.502 |                                                                                                         |
| PCU339---339--- | 2021 |  M08   | 131.685 |                                                                                                         |
| PCU339---339--- | 2021 |  M07   | 131.865 |                                                                                                         |
| PCU339---339--- | 2021 |  M06   |  131.6  |                                                                                                         |
| PCU339---339--- | 2021 |  M05   |  131.1  |                                                                                                         |
| PCU339---339--- | 2021 |  M04   |  130.5  |                                                                                                         |
| PCU339---339--- | 2021 |  M03   |  129.9  |                                                                                                         |
| PCU339---339--- | 2021 |  M02   |  129.7  |                                                                                                         |
| PCU339---339--- | 2021 |  M01   |  129.6  |                                                                                                         |
| PCU339---339--- | 2020 |  M12   |  129.2  |                                                                                                         |
| PCU339---339--- | 2020 |  M11   |  129.3  |                                                                                                         |
| PCU339---339--- | 2020 |  M10   |  129.2  |                                                                                                         |
| PCU339---339--- | 2020 |  M09   |  128.9  |                                                                                                         |
| PCU339---339--- | 2020 |  M08   |  128.8  |                                                                                                         |
| PCU339---339--- | 2020 |  M07   |  128.4  |                                                                                                         |
| PCU339---339--- | 2020 |  M06   |  128.3  |                                                                                                         |
| PCU339---339--- | 2020 |  M05   |  128.2  |                                                                                                         |
| PCU339---339--- | 2020 |  M04   |  128.4  |                                                                                                         |
| PCU339---339--- | 2020 |  M03   |  128.6  |                                                                                                         |
| PCU339---339--- | 2020 |  M02   |  128.3  |                                                                                                         |
| PCU339---339--- | 2020 |  M01   |  128.0  |                                                                                                         |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
