+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU516---516--- | 2020 |  M12   | 133.8 |           |
| PCU516---516--- | 2020 |  M11   | 136.3 |           |
| PCU516---516--- | 2020 |  M10   | 135.7 |           |
| PCU516---516--- | 2020 |  M09   | 128.0 |           |
| PCU516---516--- | 2020 |  M08   | 126.0 |           |
| PCU516---516--- | 2020 |  M07   | 125.1 |           |
| PCU516---516--- | 2020 |  M06   | 127.2 |           |
| PCU516---516--- | 2020 |  M05   | 127.1 |           |
| PCU516---516--- | 2020 |  M04   | 127.7 |           |
| PCU516---516--- | 2020 |  M03   | 131.0 |           |
| PCU516---516--- | 2020 |  M02   | 132.3 |           |
| PCU516---516--- | 2020 |  M01   | 130.5 |           |
| PCU516---516--- | 2019 |  M12   | 130.6 |           |
| PCU516---516--- | 2019 |  M11   | 130.9 |           |
| PCU516---516--- | 2019 |  M10   | 127.2 |           |
| PCU516---516--- | 2019 |  M09   | 125.6 |           |
| PCU516---516--- | 2019 |  M08   | 124.8 |           |
| PCU516---516--- | 2019 |  M07   | 125.0 |           |
| PCU516---516--- | 2019 |  M06   | 129.7 |           |
| PCU516---516--- | 2019 |  M05   | 131.1 |           |
| PCU516---516--- | 2019 |  M04   | 130.4 |           |
| PCU516---516--- | 2019 |  M03   | 129.9 |           |
| PCU516---516--- | 2019 |  M02   | 128.2 |           |
| PCU516---516--- | 2019 |  M01   | 127.3 |           |
| PCU516---516--- | 2018 |  M12   | 127.9 |           |
| PCU516---516--- | 2018 |  M11   | 131.3 |           |
| PCU516---516--- | 2018 |  M10   | 131.4 |           |
| PCU516---516--- | 2018 |  M09   | 127.6 |           |
| PCU516---516--- | 2018 |  M08   | 125.3 |           |
| PCU516---516--- | 2018 |  M07   | 124.6 |           |
| PCU516---516--- | 2018 |  M06   | 127.2 |           |
| PCU516---516--- | 2018 |  M05   | 129.7 |           |
| PCU516---516--- | 2018 |  M04   | 127.9 |           |
| PCU516---516--- | 2018 |  M03   | 127.4 |           |
| PCU516---516--- | 2018 |  M02   | 126.5 |           |
| PCU516---516--- | 2018 |  M01   | 124.9 |           |
| PCU516---516--- | 2017 |  M12   | 125.7 |           |
| PCU516---516--- | 2017 |  M11   | 126.5 |           |
| PCU516---516--- | 2017 |  M10   | 126.0 |           |
| PCU516---516--- | 2017 |  M09   | 124.0 |           |
| PCU516---516--- | 2017 |  M08   | 123.0 |           |
| PCU516---516--- | 2017 |  M07   | 123.4 |           |
| PCU516---516--- | 2017 |  M06   | 127.8 |           |
| PCU516---516--- | 2017 |  M05   | 127.3 |           |
| PCU516---516--- | 2017 |  M04   | 127.3 |           |
| PCU516---516--- | 2017 |  M03   | 127.1 |           |
| PCU516---516--- | 2017 |  M02   | 125.7 |           |
| PCU516---516--- | 2017 |  M01   | 124.7 |           |
| PCU516---516--- | 2016 |  M12   | 126.2 |           |
| PCU516---516--- | 2016 |  M11   | 131.6 |           |
| PCU516---516--- | 2016 |  M10   | 129.7 |           |
| PCU516---516--- | 2016 |  M09   | 124.4 |           |
| PCU516---516--- | 2016 |  M08   | 123.8 |           |
| PCU516---516--- | 2016 |  M07   | 122.2 |           |
| PCU516---516--- | 2016 |  M06   | 123.5 |           |
| PCU516---516--- | 2016 |  M05   | 123.5 |           |
| PCU516---516--- | 2016 |  M04   | 121.6 |           |
| PCU516---516--- | 2016 |  M03   | 121.9 |           |
| PCU516---516--- | 2016 |  M02   | 119.8 |           |
| PCU516---516--- | 2016 |  M01   | 120.0 |           |
| PCU516---516--- | 2015 |  M12   | 120.9 |           |
| PCU516---516--- | 2015 |  M11   | 121.2 |           |
| PCU516---516--- | 2015 |  M10   | 120.0 |           |
| PCU516---516--- | 2015 |  M09   | 120.5 |           |
| PCU516---516--- | 2015 |  M08   | 119.6 |           |
| PCU516---516--- | 2015 |  M07   | 120.7 |           |
| PCU516---516--- | 2015 |  M06   | 123.2 |           |
| PCU516---516--- | 2015 |  M05   | 123.4 |           |
| PCU516---516--- | 2015 |  M04   | 122.8 |           |
| PCU516---516--- | 2015 |  M03   | 121.8 |           |
| PCU516---516--- | 2015 |  M02   | 121.0 |           |
| PCU516---516--- | 2015 |  M01   | 119.5 |           |
| PCU516---516--- | 2014 |  M12   | 121.1 |           |
| PCU516---516--- | 2014 |  M11   | 121.5 |           |
| PCU516---516--- | 2014 |  M10   | 122.5 |           |
| PCU516---516--- | 2014 |  M09   | 118.7 |           |
| PCU516---516--- | 2014 |  M08   | 118.8 |           |
| PCU516---516--- | 2014 |  M07   | 119.4 |           |
| PCU516---516--- | 2014 |  M06   | 118.7 |           |
| PCU516---516--- | 2014 |  M05   | 120.3 |           |
| PCU516---516--- | 2014 |  M04   | 119.4 |           |
| PCU516---516--- | 2014 |  M03   | 120.0 |           |
| PCU516---516--- | 2014 |  M02   | 118.5 |           |
| PCU516---516--- | 2014 |  M01   | 118.9 |           |
| PCU516---516--- | 2013 |  M12   | 116.6 |           |
| PCU516---516--- | 2013 |  M11   | 117.2 |           |
| PCU516---516--- | 2013 |  M10   | 117.4 |           |
| PCU516---516--- | 2013 |  M09   | 116.3 |           |
| PCU516---516--- | 2013 |  M08   | 114.9 |           |
| PCU516---516--- | 2013 |  M07   | 113.6 |           |
| PCU516---516--- | 2013 |  M06   | 120.6 |           |
| PCU516---516--- | 2013 |  M05   | 120.2 |           |
| PCU516---516--- | 2013 |  M04   | 119.4 |           |
| PCU516---516--- | 2013 |  M03   | 119.2 |           |
| PCU516---516--- | 2013 |  M02   | 119.1 |           |
| PCU516---516--- | 2013 |  M01   | 118.4 |           |
| PCU516---516--- | 2012 |  M12   | 119.4 |           |
| PCU516---516--- | 2012 |  M11   | 121.2 |           |
| PCU516---516--- | 2012 |  M10   | 121.8 |           |
| PCU516---516--- | 2012 |  M09   | 115.8 |           |
| PCU516---516--- | 2012 |  M08   | 114.9 |           |
| PCU516---516--- | 2012 |  M07   | 113.5 |           |
| PCU516---516--- | 2012 |  M06   | 117.8 |           |
| PCU516---516--- | 2012 |  M05   | 118.7 |           |
| PCU516---516--- | 2012 |  M04   | 115.5 |           |
| PCU516---516--- | 2012 |  M03   | 114.6 |           |
| PCU516---516--- | 2012 |  M02   | 114.5 |           |
| PCU516---516--- | 2012 |  M01   | 114.2 |           |
+-----------------+------+--------+-------+-----------+
