+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU334---334--- | 2012 |  M12   |  88.9 |           |
| PCU334---334--- | 2012 |  M11   |  89.0 |           |
| PCU334---334--- | 2012 |  M10   |  89.1 |           |
| PCU334---334--- | 2012 |  M09   |  89.1 |           |
| PCU334---334--- | 2012 |  M08   |  89.4 |           |
| PCU334---334--- | 2012 |  M07   |  89.5 |           |
| PCU334---334--- | 2012 |  M06   |  89.6 |           |
| PCU334---334--- | 2012 |  M05   |  89.8 |           |
| PCU334---334--- | 2012 |  M04   |  89.7 |           |
| PCU334---334--- | 2012 |  M03   |  89.7 |           |
| PCU334---334--- | 2012 |  M02   |  89.8 |           |
| PCU334---334--- | 2012 |  M01   |  89.7 |           |
| PCU334---334--- | 2011 |  M12   |  89.5 |           |
| PCU334---334--- | 2011 |  M11   |  89.6 |           |
| PCU334---334--- | 2011 |  M10   |  89.8 |           |
| PCU334---334--- | 2011 |  M09   |  89.8 |           |
| PCU334---334--- | 2011 |  M08   |  90.0 |           |
| PCU334---334--- | 2011 |  M07   |  90.0 |           |
| PCU334---334--- | 2011 |  M06   |  90.2 |           |
| PCU334---334--- | 2011 |  M05   |  90.3 |           |
| PCU334---334--- | 2011 |  M04   |  90.3 |           |
| PCU334---334--- | 2011 |  M03   |  90.3 |           |
| PCU334---334--- | 2011 |  M02   |  90.4 |           |
| PCU334---334--- | 2011 |  M01   |  90.3 |           |
| PCU334---334--- | 2010 |  M12   |  90.1 |           |
| PCU334---334--- | 2010 |  M11   |  90.2 |           |
| PCU334---334--- | 2010 |  M10   |  90.5 |           |
| PCU334---334--- | 2010 |  M09   |  90.7 |           |
| PCU334---334--- | 2010 |  M08   |  90.9 |           |
| PCU334---334--- | 2010 |  M07   |  91.1 |           |
| PCU334---334--- | 2010 |  M06   |  91.1 |           |
| PCU334---334--- | 2010 |  M05   |  91.3 |           |
| PCU334---334--- | 2010 |  M04   |  91.4 |           |
| PCU334---334--- | 2010 |  M03   |  91.6 |           |
| PCU334---334--- | 2010 |  M02   |  91.5 |           |
| PCU334---334--- | 2010 |  M01   |  91.5 |           |
| PCU334---334--- | 2009 |  M12   |  91.7 |           |
| PCU334---334--- | 2009 |  M11   |  91.8 |           |
| PCU334---334--- | 2009 |  M10   |  91.9 |           |
| PCU334---334--- | 2009 |  M09   |  91.9 |           |
| PCU334---334--- | 2009 |  M08   |  92.2 |           |
| PCU334---334--- | 2009 |  M07   |  92.2 |           |
| PCU334---334--- | 2009 |  M06   |  92.1 |           |
| PCU334---334--- | 2009 |  M05   |  92.3 |           |
| PCU334---334--- | 2009 |  M04   |  92.3 |           |
| PCU334---334--- | 2009 |  M03   |  92.4 |           |
| PCU334---334--- | 2009 |  M02   |  92.4 |           |
| PCU334---334--- | 2009 |  M01   |  92.5 |           |
| PCU334---334--- | 2008 |  M12   |  92.4 |           |
| PCU334---334--- | 2008 |  M11   |  92.6 |           |
| PCU334---334--- | 2008 |  M10   |  92.7 |           |
| PCU334---334--- | 2008 |  M09   |  92.7 |           |
| PCU334---334--- | 2008 |  M08   |  92.7 |           |
| PCU334---334--- | 2008 |  M07   |  92.8 |           |
| PCU334---334--- | 2008 |  M06   |  92.8 |           |
| PCU334---334--- | 2008 |  M05   |  92.8 |           |
| PCU334---334--- | 2008 |  M04   |  92.7 |           |
| PCU334---334--- | 2008 |  M03   |  92.7 |           |
| PCU334---334--- | 2008 |  M02   |  92.8 |           |
| PCU334---334--- | 2008 |  M01   |  92.6 |           |
| PCU334---334--- | 2007 |  M12   |  92.6 |           |
| PCU334---334--- | 2007 |  M11   |  92.8 |           |
| PCU334---334--- | 2007 |  M10   |  93.1 |           |
| PCU334---334--- | 2007 |  M09   |  93.3 |           |
| PCU334---334--- | 2007 |  M08   |  93.5 |           |
| PCU334---334--- | 2007 |  M07   |  94.1 |           |
| PCU334---334--- | 2007 |  M06   |  94.6 |           |
| PCU334---334--- | 2007 |  M05   |  94.7 |           |
| PCU334---334--- | 2007 |  M04   |  95.1 |           |
| PCU334---334--- | 2007 |  M03   |  95.1 |           |
| PCU334---334--- | 2007 |  M02   |  95.4 |           |
