+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
|    series id    | year | period |  value  |                                                footnotes                                                |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
| PCU5182--5182-- | 2025 |  M03   | 114.534 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU5182--5182-- | 2025 |  M02   | 115.825 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU5182--5182-- | 2025 |  M01   | 117.034 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU5182--5182-- | 2024 |  M12   | 115.622 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU5182--5182-- | 2024 |  M11   | 115.670 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M10   | 115.901 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M09   | 115.887 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M08   | 116.022 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M07   | 116.121 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M06   | 115.908 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M05   | 116.330 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M04   | 115.926 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M03   | 115.524 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M02   | 115.787 |                                                                                                         |
| PCU5182--5182-- | 2024 |  M01   | 115.674 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M12   | 115.312 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M11   | 115.044 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M10   | 114.812 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M09   | 114.603 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M08   | 114.775 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M07   | 114.659 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M06   | 114.377 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M05   | 114.139 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M04   | 114.049 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M03   | 114.088 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M02   | 113.858 |                                                                                                         |
| PCU5182--5182-- | 2023 |  M01   | 113.530 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M12   | 113.383 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M11   | 113.040 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M10   | 113.034 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M09   | 112.925 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M08   | 113.057 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M07   | 113.130 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M06   | 113.176 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M05   | 113.516 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M04   | 113.434 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M03   | 110.920 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M02   | 111.541 |                                                                                                         |
| PCU5182--5182-- | 2022 |  M01   | 111.432 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M12   | 111.745 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M11   | 111.773 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M10   | 111.779 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M09   | 111.581 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M08   | 111.731 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M07   | 111.771 |                                                                                                         |
| PCU5182--5182-- | 2021 |  M06   |  111.5  |                                                                                                         |
| PCU5182--5182-- | 2021 |  M05   |  111.5  |                                                                                                         |
| PCU5182--5182-- | 2021 |  M04   |  111.5  |                                                                                                         |
| PCU5182--5182-- | 2021 |  M03   |  111.6  |                                                                                                         |
| PCU5182--5182-- | 2021 |  M02   |  111.3  |                                                                                                         |
| PCU5182--5182-- | 2021 |  M01   |  111.1  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M12   |  111.2  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M11   |  111.1  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M10   |  111.0  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M09   |  111.0  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M08   |  110.8  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M07   |  110.6  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M06   |  110.5  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M05   |  109.9  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M04   |  110.0  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M03   |  110.1  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M02   |  109.9  |                                                                                                         |
| PCU5182--5182-- | 2020 |  M01   |  109.7  |                                                                                                         |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
