+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU516---516--- | 2012 |  M12   | 119.4 |           |
| PCU516---516--- | 2012 |  M11   | 121.2 |           |
| PCU516---516--- | 2012 |  M10   | 121.8 |           |
| PCU516---516--- | 2012 |  M09   | 115.8 |           |
| PCU516---516--- | 2012 |  M08   | 114.9 |           |
| PCU516---516--- | 2012 |  M07   | 113.5 |           |
| PCU516---516--- | 2012 |  M06   | 117.8 |           |
| PCU516---516--- | 2012 |  M05   | 118.7 |           |
| PCU516---516--- | 2012 |  M04   | 115.5 |           |
| PCU516---516--- | 2012 |  M03   | 114.6 |           |
| PCU516---516--- | 2012 |  M02   | 114.5 |           |
| PCU516---516--- | 2012 |  M01   | 114.2 |           |
| PCU516---516--- | 2011 |  M12   | 113.5 |           |
| PCU516---516--- | 2011 |  M11   | 115.1 |           |
| PCU516---516--- | 2011 |  M10   | 114.4 |           |
| PCU516---516--- | 2011 |  M09   | 110.0 |           |
| PCU516---516--- | 2011 |  M08   | 109.0 |           |
| PCU516---516--- | 2011 |  M07   | 110.3 |           |
| PCU516---516--- | 2011 |  M06   | 114.8 |           |
| PCU516---516--- | 2011 |  M05   | 114.5 |           |
| PCU516---516--- | 2011 |  M04   | 113.4 |           |
| PCU516---516--- | 2011 |  M03   | 112.4 |           |
| PCU516---516--- | 2011 |  M02   | 111.5 |           |
| PCU516---516--- | 2011 |  M01   | 109.8 |           |
| PCU516---516--- | 2010 |  M12   | 112.9 |           |
| PCU516---516--- | 2010 |  M11   | 116.1 |           |
| PCU516---516--- | 2010 |  M10   | 113.7 |           |
| PCU516---516--- | 2010 |  M09   | 109.3 |           |
| PCU516---516--- | 2010 |  M08   | 108.3 |           |
| PCU516---516--- | 2010 |  M07   | 109.2 |           |
| PCU516---516--- | 2010 |  M06   | 113.5 |           |
| PCU516---516--- | 2010 |  M05   | 109.5 |           |
| PCU516---516--- | 2010 |  M04   | 108.7 |           |
| PCU516---516--- | 2010 |  M03   | 106.3 |           |
| PCU516---516--- | 2010 |  M02   | 104.0 |           |
| PCU516---516--- | 2010 |  M01   | 105.0 |           |
| PCU516---516--- | 2009 |  M12   | 104.6 |           |
| PCU516---516--- | 2009 |  M11   | 104.9 |           |
| PCU516---516--- | 2009 |  M10   | 103.5 |           |
| PCU516---516--- | 2009 |  M09   | 103.6 |           |
| PCU516---516--- | 2009 |  M08   | 102.1 |           |
| PCU516---516--- | 2009 |  M07   | 102.5 |           |
| PCU516---516--- | 2009 |  M06   | 106.4 |           |
| PCU516---516--- | 2009 |  M05   | 107.4 |           |
| PCU516---516--- | 2009 |  M04   | 105.5 |           |
| PCU516---516--- | 2009 |  M03   | 107.5 |           |
| PCU516---516--- | 2009 |  M02   | 108.1 |           |
| PCU516---516--- | 2009 |  M01   | 107.9 |           |
| PCU516---516--- | 2008 |  M12   | 109.3 |           |
| PCU516---516--- | 2008 |  M11   | 111.5 |           |
| PCU516---516--- | 2008 |  M10   | 112.0 |           |
| PCU516---516--- | 2008 |  M09   | 107.0 |           |
| PCU516---516--- | 2008 |  M08   | 105.5 |           |
| PCU516---516--- | 2008 |  M07   | 103.9 |           |
| PCU516---516--- | 2008 |  M06   | 104.4 |           |
| PCU516---516--- | 2008 |  M05   | 105.5 |           |
| PCU516---516--- | 2008 |  M04   | 106.4 |           |
| PCU516---516--- | 2008 |  M03   | 105.2 |           |
| PCU516---516--- | 2008 |  M02   | 104.6 |           |
| PCU516---516--- | 2008 |  M01   | 104.4 |           |
| PCU516---516--- | 2007 |  M12   | 103.6 |           |
| PCU516---516--- | 2007 |  M11   | 102.3 |           |
| PCU516---516--- | 2007 |  M10   | 101.0 |           |
| PCU516---516--- | 2007 |  M09   |  99.6 |           |
| PCU516---516--- | 2007 |  M08   |  98.7 |           |
| PCU516---516--- | 2007 |  M07   |  98.7 |           |
| PCU516---516--- | 2007 |  M06   | 101.8 |           |
| PCU516---516--- | 2007 |  M05   | 101.6 |           |
| PCU516---516--- | 2007 |  M04   | 101.1 |           |
| PCU516---516--- | 2007 |  M03   | 102.5 |           |
| PCU516---516--- | 2007 |  M02   | 103.1 |           |
| PCU516---516--- | 2007 |  M01   | 102.7 |           |
| PCU516---516--- | 2006 |  M12   | 103.8 |           |
| PCU516---516--- | 2006 |  M11   | 105.2 |           |
