,date, value,pro_change
125,2014-07-03,861.9,0.5248425472358376
126,2014-07-07,868.95,0.8179603202227659
127,2014-07-08,872.9,0.4545716094136454
128,2014-07-09,872.7,-0.02291213197387343
129,2014-07-10,873.6,0.1031282227569541
130,2014-07-11,875.3,0.1945970695970578
131,2014-07-14,872.0,-0.3770135953387377
132,2014-07-15,868.55,-0.3956422018348671
133,2014-07-16,876.75,0.9441022393644527
134,2014-07-17,885.1,0.952380952380949
135,2014-07-18,881.5,-0.4067337024065143
136,2014-07-21,877.15,-0.49347702779353186
137,2014-07-22,874.85,-0.26221284842956605
138,2014-07-23,874.3,-0.06286792021490406
139,2014-07-24,870.95,-0.3831636737961719
140,2014-07-25,879.8,1.0161318100924133
141,2014-07-28,880.75,0.10797908615594043
142,2014-07-29,878.3,-0.27817201248936385
143,2014-07-30,880.15,0.21063417966526998
144,2014-07-31,873.7,-0.7328296313128368
145,2014-08-01,864.55,-1.0472702300560965
146,2014-08-04,855.1,-1.093054190041054
147,2014-08-05,848.35,-0.7893813589053944
148,2014-08-06,848.9,0.06483173218601035
149,2014-08-07,856.05,0.8422664624808451
150,2014-08-08,860.5,0.5198294492144262
151,2014-08-11,874.7,1.6502033701336405
152,2014-08-12,878.0,0.37727220761403224
153,2014-08-13,881.6,0.4100227790432731
154,2014-08-14,886.15,0.5161070780399291
155,2014-08-15,894.5,0.9422783953055403
156,2014-08-18,894.9,0.044717719396314415
157,2014-08-19,880.8,-1.5755950385517914
158,2014-08-20,868.45,-1.4021344232515776
159,2014-08-21,879.9,1.3184409004548314
160,2014-08-22,887.6,0.8750994431185433
161,2014-08-25,889.75,0.24222622803065086
162,2014-08-26,888.99,-0.08541725203708994
163,2014-08-27,894.22,0.5883080799559126
164,2014-08-28,897.74,0.3936391492026514
165,2014-08-29,909.37,1.2954753046539036
166,2014-09-02,883.25,-2.8723181983131174
167,2014-09-03,875.95,-0.8264930653835267
168,2014-09-04,891.0,1.7181345967235417
169,2014-09-05,891.45,0.05050505050505638
170,2014-09-08,886.15,-0.5945369902967124
171,2014-09-09,860.45,-2.900186198724808
172,2014-09-10,849.05,-1.3248881399267942
173,2014-09-11,833.2,-1.866792297273412
174,2014-09-12,836.05,0.34205472875659115
175,2014-09-15,836.9,0.10166856049280693
176,2014-09-16,844.3,0.8842155574142696
177,2014-09-17,839.05,-0.6218168897311416
178,2014-09-18,831.65,-0.8819498242059409
179,2014-09-19,812.6,-2.2906270666746775
180,2014-09-22,803.15,-1.162933792763976
181,2014-09-23,815.8,1.575048247525368
182,2014-09-24,820.05,0.520961019857813
183,2014-09-25,802.75,-2.109627461740138
184,2014-09-26,783.8,-2.360635316100912
185,2014-09-29,789.5,0.7272263332482876
186,2014-09-30,775.15,-1.8176060797973403
187,2014-10-01,784.55,1.2126685157711314
188,2014-10-02,768.65,-2.026639474858194
189,2014-10-03,754.55,-1.8343849606452856
190,2014-10-06,766.1,1.530713670399586
191,2014-10-07,787.0,2.7281033807596833
192,2014-10-08,796.45,1.2007623888182994
193,2014-10-09,800.5,0.5085064975830278
194,2014-10-10,785.05,-1.9300437226733358
195,2014-10-13,785.95,0.11464237946627875
196,2014-10-14,795.1,1.1641961956867508
197,2014-10-15,764.25,-3.8800150924412025
198,2014-10-16,746.0,-2.3879620543016067
199,2014-10-17,756.7,1.4343163538873993
200,2014-10-20,762.3,0.7400555041628065
201,2014-10-21,776.0,1.7971927062836235
202,2014-10-22,776.7,0.09020618556700999
203,2014-10-23,779.3,0.3347495815630097
204,2014-10-24,780.9,0.20531245989992009
205,2014-10-27,787.15,0.8003585606351615
206,2014-10-28,793.35,0.7876516547036916
207,2014-10-29,800.7,0.9264511249763796
208,2014-10-30,780.7,-2.4978144123891544
209,2014-10-31,791.8,1.42180094786728
210,2014-11-03,804.4,1.591310937105339
211,2014-11-04,790.65,-1.7093485827946342
212,2014-11-05,757.85,-4.148485423385817
213,2014-11-06,752.6,-0.6927492247806311
214,2014-11-07,772.55,2.6508105235184543
215,2014-11-10,766.25,-0.8154811986279098
216,2014-11-11,772.7,0.8417618270799343
217,2014-11-12,773.65,0.12294551572407109
218,2014-11-13,770.85,-0.3619207652038936
219,2014-11-14,771.35,0.0648634624116129
220,2014-11-17,768.7,-0.34355351007973045
221,2014-11-18,776.7,1.040718095485893
222,2014-11-19,769.95,-0.8690614136732333
223,2014-11-20,767.15,-0.3636599779206495
224,2014-11-21,794.9,3.617284755262995
225,2014-11-24,790.41,-0.564850924644611
226,2014-11-25,796.1,0.7198795561797144
227,2014-11-26,802.14,0.7586986559477316
228,2014-11-28,813.12,1.3688383573939644
229,2014-12-01,808.1,-0.6173750491932251
230,2014-12-02,803.75,-0.5382997153817626
231,2014-12-03,797.55,-0.7713841368584773
232,2014-12-04,802.15,0.5767663469375073
233,2014-12-05,802.7,0.06856572960169949
234,2014-12-08,797.8,-0.6104397657904714
235,2014-12-09,811.6,1.7297568312860445
236,2014-12-10,821.4,1.2074913750615979
237,2014-12-11,819.6,-0.21913805697588717
238,2014-12-12,816.55,-0.37213274768180815
239,2014-12-15,802.55,-1.714530647235324
240,2014-12-16,784.0,-2.3113824683820283
241,2014-12-17,779.25,-0.605867346938771
242,2014-12-18,792.15,1.6554379210779624
243,2014-12-19,805.1,1.6347913905194744
244,2014-12-22,815.25,1.2607129549124352
245,2014-12-23,814.05,-0.14719411223551582
246,2014-12-24,807.8,-0.7677661077329367
247,2014-12-26,818.6,1.3369645951968323
248,2014-12-29,812.0,-0.8062545809919386
249,2014-12-30,804.2,-0.9605911330049177
250,2014-12-31,798.4,-0.7212136284506454
251,2015-01-26,781.85,-2.0728957915831625
252,2015-01-27,780.75,-0.14069194858349343
253,2015-01-28,796.3,1.9916746717899336
254,2015-01-29,771.6,-3.101846037925393
255,2015-01-30,772.4,0.10368066355623817
256,2015-02-02,788.0,2.0196789228379197
257,2015-02-03,786.0,-0.25380710659898
258,2015-02-04,790.2,0.5343511450381699
259,2015-02-05,795.7,0.6960263224500052
260,2015-02-06,781.3,-1.8097272841523293
261,2015-02-09,779.65,-0.21118648406501794
262,2015-02-10,765.7,-1.7892644135188762
263,2015-02-11,766.55,0.1110095337599537
264,2015-02-12,773.65,0.9262279042463017
265,2015-02-13,794.45,2.688554255800435
266,2015-02-17,783.25,-1.4097803511863627
267,2015-02-18,776.6,-0.8490264921800161
268,2015-02-20,779.2,0.3347926860674866
269,2015-02-23,785.95,0.8662731006160218
270,2015-02-24,790.3,0.5534703225395843
271,2015-02-25,808.55,2.309249652030876
272,2015-02-26,810.73,0.26961845278585805
273,2015-02-27,819.29,1.055838565243672
274,2015-03-02,831.1,1.4414920235813922
275,2015-03-03,831.65,0.06617735531222468
276,2015-03-04,830.65,-0.12024289063908844
277,2015-03-05,825.05,-0.67417083007284
278,2015-03-06,818.15,-0.8363129507302558
279,2015-03-09,822.95,0.586689482368774
280,2015-03-10,804.1,-2.290540130020058
281,2015-03-11,789.4,-1.8281308294988197
282,2015-03-12,786.95,-0.3103623004813705
283,2015-03-13,788.7,0.22237753351546097
284,2015-03-16,780.1,-1.0904019272220178
285,2015-03-17,762.15,-2.3009870529419385
286,2015-03-18,764.65,0.32801941874958107
287,2015-03-19,765.8,0.1503956058327205
288,2015-03-20,779.1,1.7367458866544894
289,2015-03-23,770.7,-1.0781671159029615
290,2015-03-24,763.7,-0.9082652134423275
291,2015-03-25,765.4,0.22260049757756306
292,2015-03-26,773.35,1.0386725894957038
293,2015-03-27,741.0,-4.1830995021658985
294,2015-03-30,729.0,-1.619433198380571
295,2015-03-31,735.3,0.8641975308641969
296,2015-04-01,748.85,1.8427852577179493
297,2015-04-02,746.3,-0.34052213393871433
298,2015-04-06,768.8,3.0148733753182277
299,2015-04-07,769.0,0.026014568158183593
300,2015-04-08,755.7,-1.7295188556566865
301,2015-04-09,762.4,0.8865952097393048
302,2015-04-10,776.05,1.7903987408184552
303,2015-04-13,771.4,-0.5991881966368129
304,2015-04-14,762.5,-1.153746435053149
305,2015-04-15,767.1,0.6032786885245889
306,2015-04-16,779.75,1.649067918133218
307,2015-04-17,782.95,0.4103879448541292
308,2015-04-20,772.4,-1.347467909828226
309,2015-04-21,774.55,0.2783531848782994
310,2015-04-22,755.9,-2.4078497191917902
311,2015-04-23,769.9,1.8520968382061076
312,2015-04-24,770.25,0.045460449409007175
313,2015-04-27,782.45,1.583901330736781
314,2015-04-28,781.15,-0.16614480158477773
315,2015-04-29,784.75,0.4608589899507187
316,2015-04-30,776.5,-1.0512902198152263
317,2015-05-01,773.75,-0.3541532517707613
318,2015-05-04,782.65,1.1502423263327843
319,2015-05-05,794.95,1.5715837219702378
320,2015-05-06,792.65,-0.28932637272784945
321,2015-05-07,785.75,-0.8704976975966616
322,2015-05-08,802.35,2.1126312440343575
323,2015-05-11,780.45,-2.72948214619555
324,2015-05-12,785.15,0.6022166698699483
325,2015-05-13,789.4,0.5412978411768465
326,2015-05-14,779.5,-1.2541170509247523
327,2015-05-15,794.95,1.9820397690827551
328,2015-05-18,793.0,-0.24529844644317622
329,2015-05-19,775.15,-2.2509457755359397
330,2015-05-20,776.85,0.21931239115009493
331,2015-05-21,776.1,-0.09654373431163821
332,2015-05-22,784.0,1.0179100631361848
333,2015-05-26,780.56,-0.43877551020409244
334,2015-05-27,785.24,0.5995695398175682
335,2015-05-28,785.28,0.005093984004878038
336,2015-05-29,777.03,-1.0505806845965804
337,2015-06-01,772.75,-0.5508152838371694
338,2015-06-02,768.55,-0.5435134260757146
339,2015-06-03,758.0,-1.3727148526445854
340,2015-06-04,755.3,-0.3562005277044866
341,2015-06-05,750.95,-0.5759300940023748
342,2015-06-08,743.75,-0.958785538318141
343,2015-06-09,739.9,-0.5176470588235338
344,2015-06-10,743.5,0.4865522367887509
345,2015-06-11,742.85,-0.08742434431741053
346,2015-06-12,738.15,-0.6326983913306883
347,2015-06-15,734.15,-0.541895278737381
348,2015-06-16,732.8,-0.18388612681332628
349,2015-06-17,720.35,-1.6989628820960556
350,2015-06-18,718.65,-0.2359963906434448
351,2015-06-19,707.4,-1.5654351909830888
352,2015-06-22,695.45,-1.6892847045518744
353,2015-06-23,695.75,0.043137536846638014
354,2015-06-24,695.7,-0.0071864893999240564
355,2015-06-25,679.35,-2.350150927123762
356,2015-06-26,678.6,-0.11039964672112657
357,2015-06-29,666.45,-1.7904509283819592
358,2015-06-30,672.65,0.9303023482631678
359,2015-07-01,701.2,4.244406452092475
360,2015-07-02,694.15,-1.0054192812321783
361,2015-07-06,676.15,-2.593099474177052
362,2015-07-07,652.4,-3.512534200990902
363,2015-07-08,653.5,0.16860821581852203
364,2015-07-09,638.0,-2.3718439173680217
365,2015-07-10,650.35,1.9357366771159956
366,2015-07-13,655.4125,0.7784270008456939
367,2015-07-14,657.1,0.2574714397421518
368,2015-07-15,642.9,-2.1610105006848346
369,2015-07-16,631.95,-1.7032197853476316
370,2015-07-17,619.0,-2.0492127541736016
371,2015-07-20,612.05,-1.1227786752827207
372,2015-07-21,629.45,2.8429049914222793
