date,ppi,ppi_pro_change
2003-12-01,100.0,
2003-12-02,100.0,
2003-12-03,100.0,
2003-12-04,100.0,
2003-12-05,100.0,
2003-12-06,100.0,
2003-12-07,100.0,
2003-12-08,100.0,
2003-12-09,100.0,
2003-12-10,100.0,
2003-12-11,100.0,
2003-12-12,100.0,
2003-12-13,100.0,
2003-12-14,100.0,
2003-12-15,100.0,
2003-12-16,100.0,
2003-12-17,100.0,
2003-12-18,100.0,
2003-12-19,100.0,
2003-12-20,100.0,
2003-12-21,100.0,
2003-12-22,100.0,
2003-12-23,100.0,
2003-12-24,100.0,
2003-12-25,100.0,
2003-12-26,100.0,
2003-12-27,100.0,
2003-12-28,100.0,
2003-12-29,100.0,
2003-12-30,100.0,
2003-12-31,100.0,
2004-01-01,99.4,-0.005999999999999894
2004-01-02,99.4,-0.005999999999999894
2004-01-03,99.4,-0.005999999999999894
2004-01-04,99.4,-0.005999999999999894
2004-01-05,99.4,-0.005999999999999894
2004-01-06,99.4,-0.005999999999999894
2004-01-07,99.4,-0.005999999999999894
2004-01-08,99.4,-0.005999999999999894
2004-01-09,99.4,-0.005999999999999894
2004-01-10,99.4,-0.005999999999999894
2004-01-11,99.4,-0.005999999999999894
2004-01-12,99.4,-0.005999999999999894
2004-01-13,99.4,-0.005999999999999894
2004-01-14,99.4,-0.005999999999999894
2004-01-15,99.4,-0.005999999999999894
2004-01-16,99.4,-0.005999999999999894
2004-01-17,99.4,-0.005999999999999894
2004-01-18,99.4,-0.005999999999999894
2004-01-19,99.4,-0.005999999999999894
2004-01-20,99.4,-0.005999999999999894
2004-01-21,99.4,-0.005999999999999894
2004-01-22,99.4,-0.005999999999999894
2004-01-23,99.4,-0.005999999999999894
2004-01-24,99.4,-0.005999999999999894
2004-01-25,99.4,-0.005999999999999894
2004-01-26,99.4,-0.005999999999999894
2004-01-27,99.4,-0.005999999999999894
2004-01-28,99.4,-0.005999999999999894
2004-01-29,99.4,-0.005999999999999894
2004-01-30,99.4,-0.005999999999999894
2004-01-31,99.4,-0.005999999999999894
2004-02-01,100.5,0.01106639839034207
2004-02-02,100.5,0.01106639839034207
2004-02-03,100.5,0.01106639839034207
2004-02-04,100.5,0.01106639839034207
2004-02-05,100.5,0.01106639839034207
2004-02-06,100.5,0.01106639839034207
2004-02-07,100.5,0.01106639839034207
2004-02-08,100.5,0.01106639839034207
2004-02-09,100.5,0.01106639839034207
2004-02-10,100.5,0.01106639839034207
2004-02-11,100.5,0.01106639839034207
2004-02-12,100.5,0.01106639839034207
2004-02-13,100.5,0.01106639839034207
2004-02-14,100.5,0.01106639839034207
2004-02-15,100.5,0.01106639839034207
2004-02-16,100.5,0.01106639839034207
2004-02-17,100.5,0.01106639839034207
2004-02-18,100.5,0.01106639839034207
2004-02-19,100.5,0.01106639839034207
2004-02-20,100.5,0.01106639839034207
2004-02-21,100.5,0.01106639839034207
2004-02-22,100.5,0.01106639839034207
2004-02-23,100.5,0.01106639839034207
2004-02-24,100.5,0.01106639839034207
2004-02-25,100.5,0.01106639839034207
2004-02-26,100.5,0.01106639839034207
2004-02-27,100.5,0.01106639839034207
2004-02-28,100.5,0.01106639839034207
2004-02-29,100.5,0.01106639839034207
2004-03-01,100.4,-0.0009950248756218638
2004-03-02,100.4,-0.0009950248756218638
2004-03-03,100.4,-0.0009950248756218638
2004-03-04,100.4,-0.0009950248756218638
2004-03-05,100.4,-0.0009950248756218638
2004-03-06,100.4,-0.0009950248756218638
2004-03-07,100.4,-0.0009950248756218638
2004-03-08,100.4,-0.0009950248756218638
2004-03-09,100.4,-0.0009950248756218638
2004-03-10,100.4,-0.0009950248756218638
2004-03-11,100.4,-0.0009950248756218638
2004-03-12,100.4,-0.0009950248756218638
