date,ppi,ppi_pro_change
2004-04-29,102.7,0.008840864440078589
2004-04-30,102.7,0.008840864440078589
2004-05-01,103.3,0.0058422590068158975
2004-05-02,103.3,0.0058422590068158975
2004-05-03,103.3,0.0058422590068158975
2004-05-04,103.3,0.0058422590068158975
2004-05-05,103.3,0.0058422590068158975
2004-05-06,103.3,0.0058422590068158975
2004-05-07,103.3,0.0058422590068158975
2004-05-08,103.3,0.0058422590068158975
2004-05-09,103.3,0.0058422590068158975
2004-05-10,103.3,0.0058422590068158975
2004-05-11,103.3,0.0058422590068158975
2004-05-12,103.3,0.0058422590068158975
2004-05-13,103.3,0.0058422590068158975
2004-05-14,103.3,0.0058422590068158975
2004-05-15,103.3,0.0058422590068158975
2004-05-16,103.3,0.0058422590068158975
2004-05-17,103.3,0.0058422590068158975
2004-05-18,103.3,0.0058422590068158975
2004-05-19,103.3,0.0058422590068158975
2004-05-20,103.3,0.0058422590068158975
2004-05-21,103.3,0.0058422590068158975
2004-05-22,103.3,0.0058422590068158975
2004-05-23,103.3,0.0058422590068158975
2004-05-24,103.3,0.0058422590068158975
2004-05-25,103.3,0.0058422590068158975
2004-05-26,103.3,0.0058422590068158975
2004-05-27,103.3,0.0058422590068158975
2004-05-28,103.3,0.0058422590068158975
2004-05-29,103.3,0.0058422590068158975
2004-05-30,103.3,0.0058422590068158975
2004-05-31,103.3,0.0058422590068158975
2004-06-01,103.5,0.0019361084220717029
2004-06-02,103.5,0.0019361084220717029
2004-06-03,103.5,0.0019361084220717029
2004-06-04,103.5,0.0019361084220717029
2004-06-05,103.5,0.0019361084220717029
2004-06-06,103.5,0.0019361084220717029
2004-06-07,103.5,0.0019361084220717029
2004-06-08,103.5,0.0019361084220717029
2004-06-09,103.5,0.0019361084220717029
2004-06-10,103.5,0.0019361084220717029
2004-06-11,103.5,0.0019361084220717029
2004-06-12,103.5,0.0019361084220717029
2004-06-13,103.5,0.0019361084220717029
2004-06-14,103.5,0.0019361084220717029
2004-06-15,103.5,0.0019361084220717029
2004-06-16,103.5,0.0019361084220717029
2004-06-17,103.5,0.0019361084220717029
2004-06-18,103.5,0.0019361084220717029
