Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2013-01-18,31.8200
2013-01-21,31.9000
2013-01-22,31.9400
2013-01-23,32.2300
2013-01-24,31.8500
2013-01-25,31.5600
2013-01-28,30.8700
2013-01-29,31.0600
2013-01-30,31.3500
2013-01-31,32.0300
2013-02-01,31.4300
2013-02-04,31.5100
2013-02-05,32.0100
2013-02-06,31.7000
2013-02-07,31.7500
2013-02-08,31.5200
2013-02-11,31.1600
2013-02-12,30.8400
2013-02-13,31.0400
2013-02-14,30.8800
2013-02-15,30.1800
2013-02-18,30.0000
2013-02-19,30.0000
2013-02-20,29.1100
2013-02-21,28.7200
2013-02-22,28.7900
2013-02-25,29.1700
2013-02-26,28.7500
2013-02-27,29.0700
2013-02-28,28.9500
2013-03-01,28.0100
2013-03-04,28.6900
2013-03-05,28.9300
2013-03-06,28.7400
2013-03-07,29.0100
2013-03-08,28.7800
2013-03-11,28.9000
2013-03-12,29.2500
2013-03-13,29.1200
2013-03-14,28.6400
2013-03-15,28.9100
2013-03-18,28.8000
2013-03-19,28.8500
2013-03-20,28.9000
2013-03-21,28.9100
2013-03-22,29.0600
2013-03-25,28.6700
2013-03-26,28.8300
2013-03-27,28.3300
2013-03-28,28.6400
2013-04-02,27.9600
2013-04-03,27.1900
2013-04-04,26.8000
2013-04-05,26.9700
2013-04-08,27.2700
2013-04-09,27.2500
2013-04-10,27.7400
2013-04-11,27.5700
2013-04-12,27.4000
2013-04-15,23.5400
2013-04-16,23.4700
2013-04-17,23.3100
2013-04-18,23.5100
2013-04-19,23.6600
2013-04-22,23.6000
2013-04-23,23.0100
2013-04-24,22.9100
2013-04-25,23.3000
2013-04-26,24.0200
2013-04-29,24.2700
2013-04-30,24.4200
2013-05-01,23.9700
2013-05-02,23.6900
2013-05-03,24.2500
2013-05-07,23.7500
2013-05-08,23.8600
2013-05-09,24.0700
2013-05-10,23.3700
2013-05-13,23.6600
2013-05-14,23.4400
2013-05-15,22.8700
2013-05-16,22.2600
2013-05-17,22.5200
2013-05-20,21.6600
2013-05-21,22.4400
2013-05-22,22.6200
2013-05-23,22.4700
2013-05-24,22.3800
2013-05-28,22.3600
2013-05-29,22.3600
2013-05-30,22.6800
2013-05-31,22.5700
2013-06-03,22.4300
2013-06-04,22.5100
2013-06-05,22.3700
2013-06-06,22.6200
2013-06-07,22.6000
2013-06-10,21.8100
2013-06-11,21.5800
2013-06-12,21.7800
2013-06-13,21.8300
2013-06-14,21.6900
2013-06-17,21.8700
2013-06-18,21.8000
2013-06-19,21.6200
2013-06-20,20.2400
2013-06-21,19.8700
2013-06-24,19.6500
2013-06-25,19.7700
2013-06-26,18.6700
