date, value
1978-03-17,63.1
1978-03-20,59.5
1978-03-21,60.65
1978-03-22,62.9
1978-03-23,61.7
1978-03-27,62.05
1978-03-28,62.7
1978-03-29,61.2
1978-03-30,61.7
1978-03-31,62.1
1978-04-03,61.2
1978-04-04,60
1978-04-05,59.6
1978-04-06,61.1
1978-04-07,61.1
1978-04-10,61.4
1978-04-11,61.7
1978-04-12,61.6
1978-04-13,60.75
1978-04-14,59.9
1978-04-17,56.25
1978-04-18,56.5
1978-04-19,57.1
1978-04-20,53.8
1978-04-21,57.5
1978-04-24,54.85
1978-04-25,55.25
1978-04-26,59.1
1978-04-27,62.95
1978-04-28,62
1978-05-01,60.4
1978-05-02,60.5
1978-05-03,62
1978-05-04,61.35
1978-05-05,60.8
1978-05-08,59.6
1978-05-09,59.15
1978-05-10,59.25
1978-05-11,58.25
1978-05-12,59
1978-05-15,60.25
1978-05-16,59.3
1978-05-17,62.6
1978-05-18,63
1978-05-19,62.15
1978-05-22,59.5
1978-05-23,60.5
1978-05-24,59.9
1978-05-25,59.46
1978-05-26,60.13
1978-05-30,62.72
1978-05-31,61.52
1978-06-01,61.5
1978-06-02,60.5
1978-06-05,59.75
1978-06-06,59.8
1978-06-07,59.5
1978-06-08,60
1978-06-09,58.8
1978-06-12,58.5
1978-06-13,59.15
1978-06-14,59.1
1978-06-15,59.5
1978-06-16,60
1978-06-19,60.25
1978-06-20,60.75
1978-06-21,60.2
1978-06-22,60.3
1978-06-23,60.9
1978-06-26,61
1978-06-27,60.9
1978-06-28,60.75
1978-06-29,59.4
1978-06-30,58.5
1978-07-03,58.55
1978-07-05,58.2
1978-07-06,57.9
1978-07-07,58.9
1978-07-10,58.85
1978-07-11,58.5
1978-07-12,58.1
1978-07-13,58.7
1978-07-14,59.05
1978-07-17,57.7
1978-07-18,58
1978-07-19,58.25
1978-07-20,59
1978-07-21,61.5
1978-07-24,60.5
1978-07-25,61
1978-07-26,60.25
1978-07-27,61.8
1978-07-28,61.1
1978-07-31,61.5
1978-08-01,62
1978-08-02,62.1
1978-08-03,61.6
1978-08-04,61.35
1978-08-07,62.4
1978-08-08,62.7
1978-08-09,62.7
1978-08-10,62.8
1978-08-11,63.6
1978-08-14,64.15
1978-08-15,63.4
1978-08-16,62.9
1978-08-17,60.6
1978-08-18,61.05
1978-08-21,61.3
1978-08-22,61.35
1978-08-23,60.65
1978-08-24,60.85
1978-08-25,60.5
1978-08-28,59.94
1978-08-29,61.22
1978-08-30,60.72
1978-08-31,60.33
1978-09-01,60.65
1978-09-05,61.05
1978-09-06,60.8
1978-09-07,60.6
1978-09-08,60
1978-09-11,60.1
1978-09-12,59.95
1978-09-13,60.5
1978-09-14,60.35
1978-09-15,61
1978-09-18,61
1978-09-19,60.8
1978-09-20,61
1978-09-21,61.2
1978-09-22,62
1978-09-25,62.2
1978-09-26,62.5
1978-09-27,62
1978-09-28,62.2
1978-09-29,61.8
1978-10-02,61.8
1978-10-03,62.85
1978-10-04,63.7
1978-10-05,64.65
1978-10-06,65.85
1978-10-09,67.6
1978-10-10,71.5
1978-10-11,75.5
1978-10-12,75.8
1978-10-13,72.8
1978-10-16,75.5
1978-10-17,74.6
1978-10-18,76.5
1978-10-19,74.5
1978-10-20,74.5
1978-10-23,72.8
1978-10-24,71.9
1978-10-25,75.35
1978-10-26,79.35
1978-10-27,79.35
1978-10-30,83.1
1978-10-31,79.1
1978-11-01,75.1
1978-11-02,69.1
1978-11-03,66
1978-11-06,66.3
1978-11-08,70.3
1978-11-09,67
1978-11-10,66
1978-11-13,67.2
1978-11-14,68.2
1978-11-15,65.4
1978-11-16,65.1
1978-11-17,65.5
1978-11-20,67.5
1978-11-21,67.75
1978-11-22,68
1978-11-24,67.7
1978-11-27,68.16
1978-11-28,67.34
1978-11-29,67.04
1978-11-30,67.2
1978-12-01,68
1978-12-04,68.2
1978-12-05,67.95
1978-12-06,67.7
1978-12-07,68.35
1978-12-08,68.9
1978-12-11,70
1978-12-12,70.5
1978-12-13,70.7
1978-12-14,70.6
1978-12-15,70.6
1978-12-18,71.45
1978-12-19,72
1978-12-20,71.4
1978-12-21,71.5
1978-12-26,70.5
1978-12-27,72
1978-12-28,71.5
1978-12-29,72.5
1979-01-02,71.1
1979-01-03,70.6
1979-01-04,71.5
1979-01-05,71.5
1979-01-08,71.5
1979-01-09,71.3
1979-01-10,73
1979-01-11,72.65
1979-01-12,73.1
1979-01-15,74.9
1979-01-16,76.3
1979-01-17,76.4
1979-01-18,77.4
1979-01-19,77.9
1979-01-22,78.7
1979-01-23,78.9
1979-01-24,81.15
1979-01-25,80.5
1979-01-26,84.5
1979-01-29,88.5
1979-01-30,88.25
1979-01-31,88.8
1979-02-01,89
1979-02-02,92
1979-02-05,96
1979-02-06,98.5
1979-02-07,102.5
1979-02-08,98.5
1979-02-09,97.3
1979-02-12,99.8
1979-02-13,96.3
1979-02-14,99.9
1979-02-15,101.25
1979-02-16,101.5
1979-02-20,102.8
1979-02-21,103
1979-02-22,101.5
1979-02-23,101.6
1979-02-26,97.7
1979-02-27,99.5
1979-02-28,99.76
1979-03-01,99.5
1979-03-02,96.5
1979-03-05,92.5
1979-03-06,92.05
1979-03-07,92.9
1979-03-08,91.5
1979-03-09,93
1979-03-12,93
1979-03-13,92.25
1979-03-14,93.05
1979-03-15,95
1979-03-16,95
1979-03-19,95
1979-03-20,92.95
1979-03-21,94.9
1979-03-22,95
1979-03-23,94.25
